חברה,שם,קטגוריה,אתר אינטרנט,כתובת,טלפון,קניות אונליין,אזור,חדש,latitude,longitude
ללין,הקניון הגדול - אבנת,טיפוח וקוסמטיקה,www.laline.co.il,"פתח תקוה, ז'בוטינסקי 72",054-3345075,N,מרכז,N,32.09304806534742,34.86544537601887
סבון של פעם,קניון אבנת,טיפוח וקוסמטיקה,,"פתח תקווה, זבוטינסקי 72",03-9227935,N,מרכז,N,32.09307075759108,34.86559350316196
ללין,הקריון,טיפוח וקוסמטיקה,www.laline.co.il,"קרית ביאליק, דרך עכו 192",054-3345019,N,צפון,N,32.84194127594703,35.08880190608095
סבון של פעם,קניון הקריון,טיפוח וקוסמטיקה,,"קרית ביאליק, דרך עכו 192",04-8743246,N,צפון,N,32.84195137215753,35.08888505585523
ללין,גרנד,טיפוח וקוסמטיקה,www.laline.co.il,"באר שבע, טוביהו 901",054-3345092,N,דרום,N,31.25241027594703,34.768592906080954
ללין,גרנד קניון,טיפוח וקוסמטיקה,www.laline.co.il,"חיפה, דרך שמחה גולן 54",054-3345048,N,צפון,N,32.78955219457177,35.00770207570736
סבון של פעם,גרנד קניון,טיפוח וקוסמטיקה,,"חיפה, שמחה גולן 54",04-8120111,N,צפון,N,32.789512848898916,35.007803638596464
פרימייר ים המלח,גרנד קניון חיפה,טיפוח וקוסמטיקה,,"חיפה, שמחה גולן 54",04-8326111,N,צפון,N,32.78957693456691,35.00796906277452
סבון של פעם,ביג פולג,טיפוח וקוסמטיקה,,"נתניה, גיבורי ישראל 5",09-8652297,N,שרון,N,32.276113485020204,34.85969306959018
סבון של פעם,מתחם G,טיפוח וקוסמטיקה,,"כפר סבא, ויצמן 301",09-7680836,N,שרון,N,32.170289525988075,34.9283032827808
סבון של פעם,דיזנגוף סנטר,טיפוח וקוסמטיקה,,"תל-אביב, דיזנגוף סנטר",03-5324276,N,מרכז,N,32.07515768412694,34.77541051566812
ללין,מתחם G,טיפוח וקוסמטיקה,www.laline.co.il,"ראשון לציון, ילדי טהרן 3",054-3345076,N,מרכז,N,31.984012198281217,34.77077068567359
סבון של פעם,סטאר סנטר,טיפוח וקוסמטיקה,,"אשדוד, ז'בוטינסקי 47",08-8569341,N,דרום,N,31.810391659104972,34.65329580268136
BODY SHOP,דיזנגוף סנטר,טיפוח וקוסמטיקה,,"תל אביב, דיזנגוף 50",03-5160671,N,מרכז,N,32.075401,34.775395
BODY SHOP,קניון רחובות,טיפוח וקוסמטיקה,,"רחובות, בילו 2",08-6347686,N,מרכז,N,31.893812,34.807116
BODY SHOP,קניון סירקין,טיפוח וקוסמטיקה,,"פתח תקווה, פרידמן אליעזר 9",03-9091867,N,מרכז,N,32.079495,34.902633
BODY SHOP,קניותר נס ציונה,טיפוח וקוסמטיקה,,"נס ציונה, האירוסים 53",08-9406324,N,מרכז,N,31.930214,34.798341
BODY SHOP,קרית גת,טיפוח וקוסמטיקה,,"קרית גת, כיכר פז 100",08-6733712,N,דרום,N,31.608247,34.771107
BODY SHOP,קניון חיפה,טיפוח וקוסמטיקה,,"חיפה, פלימן 4",04-8502966,N,צפון,N,32.789818,34.965071
BODY SHOP,בני ברק,טיפוח וקוסמטיקה,,"בני ברק, בר יוחאי 9",03-6761719,N,מרכז,N,32.077976,34.841286
BODY SHOP,קניון לב חדרה,טיפוח וקוסמטיקה,,"חדרה, רוטשילד 40",04-6222772,N,צפון,N,32.437688,34.922144
BODY SHOP,קניון קריון,טיפוח וקוסמטיקה,,"קרית ביאליק, הפלמ""ח 44",04-8746973,N,צפון,N,32.841621,35.089466
BODY SHOP,גרנד קניון חיפה,טיפוח וקוסמטיקה,,"חיפה, דרך שמחה גולן 54",04-8121213,N,צפון,N,32.789814,35.007997
BODY SHOP,קניון בת ים,טיפוח וקוסמטיקה,,"בת ים, יוספטל 92",03-5514964,N,מרכז,N,32.015237,34.756167
BODY SHOP,מרכז ישקו ראשלצ,טיפוח וקוסמטיקה,,"ראשון לציון, מורשת ישראל 15",03-9413853,N,מרכז,N,31.975725,34.773897
BODY SHOP,"בי""ח תל השומר",טיפוח וקוסמטיקה,,"רמת גן, בית החולים תל השומר",03-6358106,N,מרכז,N,32.046765,34.842820
BODY SHOP,קניון השרון,טיפוח וקוסמטיקה,,"נתניה, הרצל 60",09-8337605,N,שרון,N,32.326447,34.861878
BODY SHOP,אלנבי,טיפוח וקוסמטיקה,,"תל אביב, אלנבי 98",03-5160671,N,מרכז,N,32.065826,34.771825
BODY SHOP,קניון הפסגה,טיפוח וקוסמטיקה,,"ירושלים, משה דיין 148 פסגת זאב",02-5835976,N,ירושלים,N,31.824340,35.237147
BODY SHOP,קניון הדר,טיפוח וקוסמטיקה,,"ירושלים, פייר קניג 26 תלפיות",02-6730789,N,ירושלים,N,31.753592,35.213489
BODY SHOP,מכר נתניה,טיפוח וקוסמטיקה,,"נתניה, המלאכה 45",09-8350472,N,שרון,N,32.284409,34.860657
BODY SHOP,תחנה מרכזית י-ם,טיפוח וקוסמטיקה,,"ירושלים, יפו 224",02-5002635,N,ירושלים,N,31.789055,35.203308
BODY SHOP,אשקלון,טיפוח וקוסמטיקה,,"אשקלון, שדרות בן גוריון 21",08-6842847,N,דרום,N,31.663669,34.564431
BODY SHOP,קניון עיר ימים,טיפוח וקוסמטיקה,,"נתניה, בני ברמן 2 פולג",09-8338599,N,שרון,N,32.279211,34.847057
BODY SHOP,קניון לב אשדוד,טיפוח וקוסמטיקה,,"אשדוד, יהודה הלוי פינת בלפור",08-8679341,N,דרום,N,31.796893,34.647896
BODY SHOP,נהריה,טיפוח וקוסמטיקה,,"נהריה, הרצל 64",04-9921012,N,צפון,N,33.007001,35.096217
BODY SHOP,קניון אדומים,טיפוח וקוסמטיקה,,"מעלה אדומים, דרך קדם 5 ",02-5905739,N,ירושלים,N,31.771499,35.298434
BODY SHOP,סי מול אשדוד,טיפוח וקוסמטיקה,,"אשדוד, הגדוד העברי 6 ",08-8553902,N,דרום,N,31.792403,34.639033
BODY SHOP,ראש פינה,טיפוח וקוסמטיקה,,"ראש פינה, דרך גיא אוני 9988",04-6936510,N,צפון,N,32.969185,35.544895
BODY SHOP,מתחם G כפר סבא,טיפוח וקוסמטיקה,,"כפר סבא, ויצמן 301",09-7680716,N,שרון,N,32.170575,34.928642
BODY SHOP,בית שאן,טיפוח וקוסמטיקה,,"בית שאן, צים סנטר",04-6060361,N,צפון,N,32.511762,35.502034
BODY SHOP,קניון חוצות,טיפוח וקוסמטיקה,,"כרמיאל, מעלה כמון 5",04-9884434,N,צפון,N,32.928024,35.326143
BODY SHOP,"בית""ר עילית",טיפוח וקוסמטיקה,,"בית""ר עילית, הר""ן 20",02-6736925,N,ירושלים,N,31.703194,35.117934
BODY SHOP,נצרת,טיפוח וקוסמטיקה,,"נצרת, דרך החטיבות 1",04-6456482,N,צפון,N,32.698746,35.311882
BODY SHOP,קניון הזהב,טיפוח וקוסמטיקה,,"ראשון לציון, דוד סחרוב 21",03-7261595,N,מרכז,N,31.990656,34.774627
BODY SHOP,קניון עזריאלי עכו,טיפוח וקוסמטיקה,,"עכו, החרושת 2",04-8703557,N,צפון,N,32.923002,35.081311
BODY SHOP,קניון לב המפרץ,טיפוח וקוסמטיקה,,"חיפה, ההסתדרות 55",04-6892357,N,צפון,N,32.793006,35.036642
BODY SHOP,גרנד קניון באר שבע,טיפוח וקוסמטיקה,,"באר שבע, שד' טוביהו 125",08-8690446,N,דרום,N,31.250668,34.771673
BODY SHOP,בית שמש,טיפוח וקוסמטיקה,,"בית שמש, יגאל אלון 3",02-5334160,N,ירושלים,N,31.756232,34.990844
BODY SHOP,הרצליה,טיפוח וקוסמטיקה,,"הרצליה, שדרות חן 5 ",09-9574785,N,שרון,N,32.167869,34.842587
BODY SHOP,מכר באר שבע,טיפוח וקוסמטיקה,,"באר שבע, התקוה 4 קרית הממשלה",08-6484925,N,דרום,N,31.245367,34.799287
BODY SHOP,מלכת שבא אילת,טיפוח וקוסמטיקה,,"אילת, אנטיב 8 מלון הילטון מלכת שבא",08-6336010,N,אילת,N,29.550442,34.961780
BODY SHOP,רעננה,טיפוח וקוסמטיקה,,"רעננה, המלאכה 2-קניון רננים",09-9518928,N,שרון,N,32.197455,34.877955
BODY SHOP,ביג טבריה,טיפוח וקוסמטיקה,,"טבריה, המברג 1 ",04-8407220,N,צפון,N,32.785446,35.498463
BODY SHOP,הראל מבשרת,טיפוח וקוסמטיקה,,"מבשרת ציון, הראל 1",02-5306813,N,ירושלים,N,31.799846,35.148975
BODY SHOP,מכר עכו,טיפוח וקוסמטיקה,,"עכו, הגליל 1",04-8389861,N,צפון,N,32.852391,35.081021
BODY SHOP,"מרום נווה ר""ג",טיפוח וקוסמטיקה,,"רמת גן, לנדאו 7 קניון מרום נווה",03-6760478,N,מרכז,N,32.071585,34.828256
BODY SHOP,פתח תקווה,טיפוח וקוסמטיקה,,"פתח תקווה, זבוטינסקי 72",03-9191001,N,מרכז,N,32.093181,34.866730
LARIMAR CLINIC,קניון גרנד עופר  באר שבע ,טיפוח וקוסמטיקה,larimarclinic.co.il/,"באר שבע, שד' דוד טוביהו 125",08-8681400,N,דרום,N,31.25053,34.771516999999996
ללין,מרכז ביג,טיפוח וקוסמטיקה,www.laline.co.il,"אילת, הסתת 20",08-6520635,N,אילת,N,29.56649707419424,34.95926725680555
סבון של פעם,קניון הנגב,טיפוח וקוסמטיקה,,"באר שבע, צומת אלי כהן",08-6450458,N,דרום,N,31.24412132542394,34.792172334917545
ללין,מתחם ביג,טיפוח וקוסמטיקה,www.laline.co.il,"באר שבע, דרך חברון 21",054-3345050,N,דרום,N,31.243708294029293,34.80975077912517
ללין,קניון גבעתיים,טיפוח וקוסמטיקה,www.laline.co.il,"גבעתיים, דרך יצחק רבין 53",054-3345026,N,מרכז,N,32.06635898433188,34.81011271771539
סבון של פעם,קניון גבעתיים,טיפוח וקוסמטיקה,,"גבעתיים, דרך יצחק רבין 53",03-7310902,N,מרכז,N,32.066328999999996,34.810205
סבון של פעם,קניון שרונים,טיפוח וקוסמטיקה,,"הוד השרון, הירקון 2",09-7730824,N,שרון,N,32.09744344007948,34.89599944007948
ללין,מתחם ביג,טיפוח וקוסמטיקה,www.laline.co.il,"חדרה, צה""ל 5",054-3345018,N,צפון,N,32.43815816805174,34.92760539009663
ללין,קניון חולון,טיפוח וקוסמטיקה,www.laline.co.il,"חולון, גולדה מאיר 7",054-3345070,N,מרכז,N,32.01194075255533,34.77924086810459
ללין,קניון חיפה,טיפוח וקוסמטיקה,www.laline.co.il,"חיפה, דרך משה פלימן 4",054-3345067,N,צפון,N,32.78949846951672,34.964963469516725
סבון של פעם,קניון מלחה,טיפוח וקוסמטיקה,,"ירושלים, אגודת הספורט ביתר 1",02-6798244,N,ירושלים,N,31.75153664170676,35.1873865
ללין,קניון הדר תלפיות,טיפוח וקוסמטיקה,www.laline.co.il,"ירושלים, פייר קניג 26",054-3345096,N,ירושלים,N,31.752617743885068,35.21406057179662
ללין,קניון ערים,טיפוח וקוסמטיקה,www.laline.co.il,"כפר סבא, ברל כצנלסון 14",054-3345031,N,שרון,N,32.17717099159312,34.90351439298851
ללין,כרמיאל,טיפוח וקוסמטיקה,www.laline.co.il,"כרמיאל, מעלה כמון 2",054-3345038,N,צפון,N,32.927105659104974,35.32407419731864
סבון של פעם,ישפרו סנטר,טיפוח וקוסמטיקה,,"מודיעין, שד' המלאכה 121",08-9712097,N,ירושלים,N,31.883186958506364,35.011963742529794
ללין,קניון עזריאלי,טיפוח וקוסמטיקה,www.laline.co.il,"מודיעין, לב העיר 2",054-3345060,N,ירושלים,N,31.89971872998476,35.008183287352885
סבון של פעם,קניון מודיעין,טיפוח וקוסמטיקה,,"מודיעין, לב העיר 2",08-9719234,N,ירושלים,N,31.899705659104974,35.00827419731864
ללין,ביג פאשן,טיפוח וקוסמטיקה,www.laline.co.il,"נצרת, תופיק זאיד 53",054-3345066,N,צפון,N,32.695883747840604,35.30109300395169
ללין,G בעמק,טיפוח וקוסמטיקה,www.laline.co.il,"עפולה, שד' רבין 18",054-3345065,N,צפון,N,32.618916,35.312541
ללין,קניון סירקין,טיפוח וקוסמטיקה,www.laline.co.il,"פתח תקוה, אלעזר פרידמן 9",054-3345090,N,מרכז,N,32.07935740707856,34.9025395
ללין,קניון קרית אונו,טיפוח וקוסמטיקה,www.laline.co.il,"קרית אונו, שלמה המלך 37",054-3345052,N,מרכז,N,32.055432970907695,34.8633161389046
סבון של פעם,קניון קרית אונו,טיפוח וקוסמטיקה,,"קרית אונו, שלמה המלך 37",03-5344202,N,מרכז,N,32.05542471235905,34.86341580476502
ללין,מתחם ביג,טיפוח וקוסמטיקה,www.laline.co.il,"קרית אתא, שד' ההסתדרות 248",054-3345071,N,צפון,N,32.810687,35.07165
ללין,קניון 8 סנטר,טיפוח וקוסמטיקה,www.laline.co.il,"קרית שמונה, טשרניחובסקי 4",054-3345078,N,צפון,N,33.21048788383863,35.56863953237403
ללין,קניון רחובות,טיפוח וקוסמטיקה,www.laline.co.il,"רחובות, ביל""ו 2",054-3345028,N,מרכז,N,31.892117471722244,34.80575036307376
סבון של פעם,קניון רחובות,טיפוח וקוסמטיקה,,"רחובות, ביל""ו 2",08-9492082,N,מרכז,N,31.8920864182792,34.80591315092303
ללין,קניון רמת אביב,טיפוח וקוסמטיקה,www.laline.co.il,"תל אביב, איינשטיין 40 רמת אביב",054-3345051,N,מרכז,N,32.112033893450366,34.795690810073815
ללין,קניון מול הים,טיפוח וקוסמטיקה,www.laline.co.il,"אילת, הפלמ""ח 1",054-3345016,N,אילת,N,29.549811690160265,34.95332976532736
סבון של פעם,קניון מול הים,טיפוח וקוסמטיקה,,"אילת, הפלמ""ח 1",08-6340351,N,אילת,N,29.549736485020208,34.95342406959018
ללין,קניון גירון,טיפוח וקוסמטיקה,www.laline.co.il,"אשקלון, שד' בן גוריון 21",054-3345062,N,דרום,N,31.663565440079477,34.56434544007948
ללין,מתחם ONE,טיפוח וקוסמטיקה,www.laline.co.il,"באר שבע, יצחק נפחא 25",054-3345047,N,דרום,N,31.24910961284993,34.811253
ללין,בית שאן,טיפוח וקוסמטיקה,www.laline.co.il,"בית שאן, העמל 7",054-3345013,N,צפון,N,32.512719000000004,35.500518
ללין,קניון בת ים,טיפוח וקוסמטיקה,www.laline.co.il,"בת ים, יוספטל 92",054-3345020,N,מרכז,N,32.015443,34.755227
ללין,קניון הגבעה,טיפוח וקוסמטיקה,www.laline.co.il,"גבעת שמואל, יוני נתניהו 29",054-3345059,N,מרכז,N,32.077077,34.855214
ללין,קניון מרגלית,טיפוח וקוסמטיקה,www.laline.co.il,"הוד השרון, ז'בוטינסקי 3",054-3345053,N,שרון,N,32.14325221582243,34.891640245158285
ללין,קניון שבעת הכוכבים,טיפוח וקוסמטיקה,www.laline.co.il,"הרצליה, שד' שבעת הכוכבים 8",054-3345011,N,שרון,N,32.16492138299776,34.823878271066526
סבון של פעם,קניון שבעת הכוכבים,טיפוח וקוסמטיקה,,"הרצליה, שבעת הכוכבים 8",09-7748938,N,שרון,N,32.16489447204144,34.82400777369816
ללין,קניון לב חדרה,טיפוח וקוסמטיקה,www.laline.co.il,"חדרה, רוטשילד 40",054-3345073,N,צפון,N,32.43726935127296,34.920986254841715
ללין,קניון סינמול לב המפרץ,טיפוח וקוסמטיקה,www.laline.co.il,"חיפה, שד' ההסתדרות 55",054-3345057,N,צפון,N,32.79251721582243,35.03736175484172
ללין,קניון סביונים,טיפוח וקוסמטיקה,www.laline.co.il,"יהוד, משה דיין 3",054-3345080,N,מרכז,N,32.03050944007948,34.87833844007948
ללין,קניון פסגת זאב,טיפוח וקוסמטיקה,www.laline.co.il,"ירושלים, שד' משה דיין 106",054-3345022,N,ירושלים,N,31.827875323212556,35.24018049907102
ללין,קניון מעלה אדומים,טיפוח וקוסמטיקה,www.laline.co.il,"מעלה אדומים, דרך הקדם 5",054-3345044,N,ירושלים,N,31.7719972013072,35.299073
ללין,קניון סנטר 1,טיפוח וקוסמטיקה,www.laline.co.il,"ירושלים, ירמיהו 43",054-3345056,N,ירושלים,N,31.7904407986928,35.200705
ללין,מעלות,טיפוח וקוסמטיקה,www.laline.co.il,"מעלות, שלמה שרירא 12",054-3345094,N,צפון,N,33.018969,35.283674999999995
סבון של פעם,קניותר,טיפוח וקוסמטיקה,,"נס-ציונה, האירוסים 53",08-9408328,N,מרכז,N,31.930296958506364,34.797769742529795
ללין,קניון השרון,טיפוח וקוסמטיקה,www.laline.co.il,"נתניה, הרצל 60",054-3345021,N,שרון,N,32.326598837790996,34.861644773735364
ללין,ערד,טיפוח וקוסמטיקה,www.laline.co.il,"ערד, התעשייה 56",054-3345093,N,דרום,N,31.247504798692802,35.200938
ללין,קניון עזריאלי,טיפוח וקוסמטיקה,www.laline.co.il,"קרית אתא, עצמאות 37",054-3345027,N,צפון,N,32.80349244007948,35.10345144007948
ללין,מתחם ביג,טיפוח וקוסמטיקה,www.laline.co.il,"קרית שמונה, אזור תעשייה דרומי",054-3345401,N,צפון,N,33.192877612849934,35.569336
סבון של פעם,קניון הזהב,טיפוח וקוסמטיקה,,"ראשון לציון, דוד סחרוב 21",03-9520269,N,מרכז,N,31.98974533940271,34.77435979996936
פרימייר ים המלח,קניון הזהב ,טיפוח וקוסמטיקה,,"ראשון לציון, דוד סחרוב 21",03-6420676,N,מרכז,N,31.98979925789778,34.77447438260392
ללין,שער ראשון,טיפוח וקוסמטיקה,www.laline.co.il,"ראשון לציון, ההסתדרות 6",054-3345079,N,מרכז,N,31.966465831948256,34.78471739009663
ללין,רגבה,טיפוח וקוסמטיקה,www.laline.co.il,"רגבה, רגבה",054-3345040,N,צפון,N,32.977493,35.099014
ללין,קניון איילון,טיפוח וקוסמטיקה,www.laline.co.il,"רמת גן, אבא הלל 301",054-3345063,N,מרכז,N,32.10019081281938,34.82662125770037
סבון של פעם,קניון איילון,טיפוח וקוסמטיקה,,"רמת גן, אבא הילל סילבר 301",03-6290902,N,מרכז,N,32.10015265910497,34.82670480268136
ללין,רמת ישי,טיפוח וקוסמטיקה,www.laline.co.il,"רמת ישי, אקליפטוס 1",054-3345023,N,צפון,N,32.706652,35.173411
ללין,קניון רננים,טיפוח וקוסמטיקה,www.laline.co.il,"רעננה, המלאכה 2",054-3345029,N,שרון,N,32.19776872998475,34.88044928735288
סבון של פעם,קניון רננים,טיפוח וקוסמטיקה,,"רעננה, המלאכה 2",09-7439186,N,שרון,N,32.19775565910497,34.88054019731864
סבון של פעם,"קניון ויצמן בי""ח איכילוב",טיפוח וקוסמטיקה,,"תל-אביב, ויצמן 14",03-6965891,N,מרכז,N,32.08219044007948,34.78896544007948
ללין,קניון גן העיר,טיפוח וקוסמטיקה,www.laline.co.il,"תל אביב, אבן גבירול 71",054-3345054,N,מרכז,N,32.08275737476761,34.78114326591343
IL MAKIAGE,רחובות ,טיפוח וקוסמטיקה,www.ilmakiage.co.il,"רחובות, בילו 2 ",08-9348266,N,מרכז,N,31.893414,34.807537
IL MAKIAGE,דיזינגוף סנטר החדש,טיפוח וקוסמטיקה,www.ilmakiage.co.il,"תל אביב, חנות 425 דיזינגוף 50",03-6349805,N,מרכז,N,32.075249,34.775413
IL MAKIAGE,תל אביב,טיפוח וקוסמטיקה,www.ilmakiage.co.il,"תל אביב, החרש 8",03-5420231,N,מרכז,N,32.056044,34.783636
IL MAKIAGE,בת ים ,טיפוח וקוסמטיקה,www.ilmakiage.co.il,"בת ים, יוספטל 92",03-5420232,N,מרכז,N,32.015037,34.756124
IL MAKIAGE,ערים כפר סבא,טיפוח וקוסמטיקה,www.ilmakiage.co.il,"כפר סבא, כצנלסון 14",03-5420234,N,שרון,N,32.177391,34.903363
IL MAKIAGE,קריון ,טיפוח וקוסמטיקה,www.ilmakiage.co.il,"קרית ביאליק, דרך עכו 192",04-8754959,N,צפון,N,32.845200,35.091931
IL MAKIAGE,גרנד קניון חיפה,טיפוח וקוסמטיקה,www.ilmakiage.co.il,"חיפה, שמחה גולן 54",03-5420236,N,צפון,N,32.789733,35.007922
IL MAKIAGE,הרצליה,טיפוח וקוסמטיקה,www.ilmakiage.co.il,"הרצליה, שבעת הכוכבים 8",09-9509107,N,שרון,N,32.164916,34.823953
IL MAKIAGE,אילת - מול ים,טיפוח וקוסמטיקה,www.ilmakiage.co.il,"אילת, הפלמח 1",03-5420238,N,אילת,N,29.549740,34.954022
IL MAKIAGE,ראשון לציון - קניון הזהב,טיפוח וקוסמטיקה,www.ilmakiage.co.il,"ראשון לציון, דוד סחרוב 21",03-5420239,N,מרכז,N,31.989961,34.774427
IL MAKIAGE,חולון ,טיפוח וקוסמטיקה,www.ilmakiage.co.il,"חולון, גולדה מאיר 7",03-5420241,N,מרכז,N,32.012178,34.779345
IL MAKIAGE,טבריה,טיפוח וקוסמטיקה,www.ilmakiage.co.il,"טבריה, יהודה הלוי ,דנילוף",03-5420242,N,צפון,N,32.790816,35.532909
IL MAKIAGE,קניון השרון נתניה,טיפוח וקוסמטיקה,www.ilmakiage.co.il,"נתניה, הרצל 60",03-5420243,N,שרון,N,32.326302,34.861899
IL MAKIAGE,כפר סבא,טיפוח וקוסמטיקה,www.ilmakiage.co.il,"כפר סבא, ויצמן 301",09-8857149,N,שרון,N,32.170801,34.928017
IL MAKIAGE,גבעתיים,טיפוח וקוסמטיקה,www.ilmakiage.co.il,"גבעתיים, וייצמן 53",03-5710901,N,מרכז,N,32.070754,34.808628
IL MAKIAGE,"הקניון הגדול פ""ת",טיפוח וקוסמטיקה,www.ilmakiage.co.il,"פתח תקווה, זבוטינסקי 72",03-5420246,N,מרכז,N,32.092565,34.865522
IL MAKIAGE,איקאה צפון,טיפוח וקוסמטיקה,www.ilmakiage.co.il,", שד' חיפה 30",04-6317721,N,צפון,N,32.805520,35.074459
IL MAKIAGE,רמלה,טיפוח וקוסמטיקה,www.ilmakiage.co.il,"רמלה, דוד רזיאל 2",08-8699052,N,מרכז,N,31.925711,34.863898
IL MAKIAGE,קניון הדר ירושלים,טיפוח וקוסמטיקה,www.ilmakiage.co.il,"תלפיות, פייר קניג 26 תלפיות",03-5420247,N,ירושלים,N,31.753463,35.213430
IL MAKIAGE,קניון מלחה ירושלים ,טיפוח וקוסמטיקה,www.ilmakiage.co.il,"ירושלים, אגודת הספורט ביתר 1",03-5420511,N,ירושלים,N,31.751431,35.187152
IL MAKIAGE,נצרת,טיפוח וקוסמטיקה,www.ilmakiage.co.il,"נצרת, תאופיק זיאד 53",03-5420526,N,צפון,N,32.696008,35.301179
IL MAKIAGE,קניון עיר ימים נתניה ,טיפוח וקוסמטיקה,www.ilmakiage.co.il,"נתניה, בני ברמן 2",03-5420521,N,שרון,N,32.279048,34.847025
IL MAKIAGE,חדרה ,טיפוח וקוסמטיקה,www.ilmakiage.co.il,"חדרה, רוטשילד 40",03-5240250,N,צפון,N,32.437507,34.922155
IL MAKIAGE,שער הנגב,טיפוח וקוסמטיקה,www.ilmakiage.co.il,"באר שבע, צומת אלי כהן",08-6236483,N,דרום,N,31.244271,34.791994
IL MAKIAGE,גרנד קניון באר שבע ,טיפוח וקוסמטיקה,www.ilmakiage.co.il,", שדרות דוד טוביהו 100",03-5420252,N,דרום,N,31.245284,34.788362
IL MAKIAGE,עזריאלי חיפה ,טיפוח וקוסמטיקה,www.ilmakiage.co.il,"חיפה, פלימן 4",04-6022961,N,צפון,N,32.789551,34.965648
IL MAKIAGE,סביונים יהוד,טיפוח וקוסמטיקה,www.ilmakiage.co.il,"יהוד, משה דיין 3",03-6320049,N,מרכז,N,32.030333,34.878185
IL MAKIAGE,קרית אונו,טיפוח וקוסמטיקה,www.ilmakiage.co.il,"קרית אונו, שלמה המלך 37",03-5420259,N,מרכז,N,32.055469,34.863372
IL MAKIAGE,אשקלון ,טיפוח וקוסמטיקה,www.ilmakiage.co.il,"אשקלון, שדרות בן גוריון 21",08-6845294,N,דרום,N,31.663614,34.564431
IL MAKIAGE,קניון ראשונים ,טיפוח וקוסמטיקה,www.ilmakiage.co.il,"ראשון לציון, שדרות נים 2",03-5420545,N,מרכז,N,31.950144,34.803355
IL MAKIAGE,קניון רננים ,טיפוח וקוסמטיקה,www.ilmakiage.co.il,"רעננה, המלאכה 2",,N,שרון,N,32.198000,34.880394
IL MAKIAGE,קניון עזריאלי תל אביב ,טיפוח וקוסמטיקה,www.ilmakiage.co.il,"תל אביב, דרך מנחם בגין 132",03-5420508,N,מרכז,N,32.074345,34.792177
IL MAKIAGE,אייס מול אילת,טיפוח וקוסמטיקה,www.ilmakiage.co.il,"אילת, קאופמן 8",03-5420517,N,אילת,N,29.554089,34.965604
IL MAKIAGE,ראשון לציון ,טיפוח וקוסמטיקה,www.ilmakiage.co.il,"ראשון לציון, רוטשילד 45",,N,מרכז,N,31.963475,34.801421
IL MAKIAGE,קניון איילון רמת גן ,טיפוח וקוסמטיקה,www.ilmakiage.co.il,"רמת גן, אבא הלל 301",,N,מרכז,N,32.100319,34.826706
IL MAKIAGE,סי מול אשדוד,טיפוח וקוסמטיקה,www.ilmakiage.co.il,"אשדוד, הגדוד העברי 6",03-5420257,N,דרום,N,31.792857,34.638961
