שם,תיאור,סוג,שעות פתיחה,כתובת,אתר אינטרנט,טלפון,משלוחים,כשרות,נגישות לנכים,קטגוריה,עיר,אזור,חדש,latitude,longitude
קפה קפה,בית קפה מסעדה- חלבי,"בית קפה,חלבי","א-ה: 09:00-23:00
שישי: 08:00-שעתיים לכניסת השבת
שבת: מוצ""ש - 24:00","סחרוב 21, קניון הזהב",www.cafecafe.co.il,03-6055328,ישיבה במסעדה,כשר,Y,בית קפה,ראשון לציון,מרכז,N,31.989917,34.774349
קפה קפה,בשרי,בית קפה,"א-ה: 08:00-24:00
שישי: 07:00-מוצ""ש 24:00
שבת: יום ו' 07:00-מוצ""ש 24:00",רחוב הבילויים 5,www.cafecafe.co.il/he/home/a/main,08-8694590,ישיבה במסעדה,,Y,בית קפה,גדרה,דרום,N,31.814960,34.773146
Siesata,בית קפה,בית קפה,"א-ה: 07:30-23:00
שישי: 07:30-23:00
שבת: 09:00-23:00",חייל ההנדסה 1/5,www.rol.co.il/sites/siesta,08-6650334,ישיבה במסעדה,,Y,בית קפה,באר שבע,דרום,N,31.243261,34.812207
קפה קפה,בית קפה,בית קפה,"א-ה: 08:30-24:00
שישי: 08:30-שעת לכניסת השבת
שבת: מוצ""ש-24:00",החרושת 2 קניון עזריאלי,www.cafecafe.co.il,04-6013618,ישיבה במסעדה,כשר למהדרין,Y,בית קפה,עכו,צפון,N,32.923047,35.081231
קפה קפה,בית קפה,בית קפה,"א-ה: 08:00-24:00
שישי: 08:00-24:00
שבת: 17:30-24:00",יהושוע חנקין 14 קניון ערים,www.cafecafe.co.il,04-6404083,ישיבה במסעדה,,Y,בית קפה,עפולה,צפון,N,32.604192,35.294081
קפה קפה ,בית קפה,בית קפה,"א-ה: 07:30-24:00
שישי: 07:30-24:00
שבת: 07:30-24:00",טמרה,www.cafecafe.co.il,04-6574014,ישיבה במסעדה,,Y,בית קפה,טמרה,צפון,N,32.857397,35.170993
קפה קפה,בית קפה,בית קפה,"א-ה: 08:00-24:30
שישי: 08:00-24:30
שבת: 08:00-24:30",מפגש מזרע,,04-6706040,ישיבה במסעדה,,N,בית קפה,מזרע,צפון,N,32.983651,35.098915
קפה גרג ,בית קפה ,סושי-אסייאתי,"א-ה: 08:00-22:30
שישי: 08:00-15:30
שבת: 18:00-23:00",ויצמן 207,www.gregcafe.co.il,09-7671683,ישיבה במסעדה,,Y,בית קפה,כפר סבא,שרון,N,32.171698,34.927919
קפה קפה ,מסעדה,"בשרים,כריכים-סלטים","א-ה: 08:00-23:00
שישי: 08:00-23:00
שבת: 08:00-23:00",כפר כנא - רחוב ראשי כניסה צפונית,www.cafecafe.co.il/he/home/a/main/,04-9919185,ישיבה במסעדה,,Y,בית קפה,כפר כנא,צפון,N,32.748198,35.343840
קפה קפה ,בית קפה מסעדה,"איטלקי,בית קפה","א-ה: 08:00-23:00
שישי: 08:00-14:00
שבת: חצי שעה מצאת השבת - 23:30",צומת רוויה עמק המעיינות,www.cafecafe.co.il/he/home/a/main/,04-6584648,ישיבה במסעדה,כשר למהדרין,Y,בית קפה,שדי תרומות,צפון,N,32.440898,35.484204
קפה קפה ,בית קפה מסעדה חלבי ,"איטלקי,חלבי,כריכים-סלטים","א-ה: 08:30-22:00
שישי: 08:30-13:30
שבת: מצאת השבת - 23:00",יהודה הלוי 1,www.cafecafe.co.il/he/home/a/main/,04-6723400,ישיבה במסעדה,כשר למהדרין,Y,בית קפה,טבריה,צפון,N,32.790512,35.533797
קפה קפה ,בית קפה - בשרי ,"בית קפה,בשרים","א-ה: 07:30-00:30
שישי: 07:30-00:30
שבת: 07:30-00:30",החרט 8,www.cafecafe.co.il/he/home/a/main,04-8384423,ישיבה במסעדה,,Y,בית קפה,עפולה,צפון,N,32.633736,35.335934
קפה בגולף,בוקר בראנץ' אווירה ,"איטלקי,בית קפה,בר-פאב","א-ה: 08:00-16:00
שישי: 08:00-16:00
שבת: 08:00-16:00",מועדון הגולף קיסריה,,04-7743733,ישיבה במסעדה,,Y,בית קפה,קיסריה,צפון,N,32.501609,34.907259
קפה קפה ,בית קפה מסעדה ,"בית קפה,חלבי,כריכים-סלטים","א-ה: 09:00-20:00
שישי: 08:30-15:00
שבת: ",דיזנגוף סנטר (קומה 3),www.cafecafe.co.il/he/home/a/main/,052-7595501,ישיבה במסעדה,כשר,Y,בית קפה,תל אביב - יפו,מרכז,N,32.075031,34.774906
קפה בולווארד,בית קפה חלבי ,"איטלקי,בית קפה,חלבי","א-ה: 07:30-23:00
שישי: 09:00-23:00
שבת: 09:00-23:00",מלון ישרוטל רויאל גארדן 1,,08-6386666,ישיבה במסעדה,,Y,בית קפה,אילת,אילת,N,29.550387,34.963255
קפה גרג,בית קפה מסעדה ,"בית קפה,חלבי,כריכים-סלטים","א-ה: 08:30-23:30
שישי: 08:00-15:00
שבת: חצי שעה לאחר צאת השבת - 00:00",קניון מלחה,gregcafe.co.il/,02-6232023,ישיבה במסעדה,כשר למהדרין,Y,בית קפה,ירושלים,ירושלים,N,31.751102,35.187286
קפה גרג,בית קפה מסעדה,"איטלקי,בית קפה,חלבי","א-ה: 08:00-22:00
שישי: 08:00-14:00
שבת: שעה לאחר צאת השבת- 23:00",זבוטינסקי 72,gregcafe.co.il/,03-6428888,ישיבה במסעדה,כשר למהדרין,Y,בית קפה,פתח תקווה,מרכז,N,32.092729,34.865533
קפה גרג,בית קפה מסעדה,"איטלקי,בית קפה,חלבי","א-ה: 09:30-22:00
שישי: 09:00-14:00
שבת: ",דיזנגוף סנטר 55,gregcafe.co.il/,03-9366514,ישיבה במסעדה,כשר,Y,בית קפה,תל אביב - יפו,מרכז,N,32.075570,34.775837
קפה גרג,בית קפה מסעדה,"חלבי,כריכים-סלטים,מתוקים-קינוחים","א-ה: א'-ד'- 08:00-23:30 ה' עד 00:00
שישי: 08:00-14:30
שבת: חצי שעה מצאת השבת - 00:00",המברג 1 מתחם ביג,gregcafe.co.il/,04-6735767,ישיבה במסעדה,כשר למהדרין,N,בית קפה,טבריה,צפון,N,32.784400,35.497632
קפה גרג,בית קפה מסעדה,"איטלקי,בית קפה,חלבי","א-ה: 08:30-22:00
שישי: 08:00-17:00
שבת: 10:00- לקוח אחרון",החרושת 8 מתחם חוצות המפרץ,gregcafe.co.il/,04-9536003,ישיבה במסעדה,,Y,בית קפה,חיפה,צפון,N,32.809255,35.055784
קפה גרג,בית קפה מסעדה,"איטלקי,בית קפה,חלבי","א-ה: 07:00-לקוח אחרון
שישי: 07:00-שעה לפני כניסת שבת
שבת: שעה לאחר צאת השבת - 00:00",דרך בר יהודה 111,gregcafe.co.il/,04-6221199,ישיבה במסעדה,כשר למהדרין,Y,בית קפה,חיפה,צפון,N,32.785393,35.030812
קפה גרג,בית קפה מסעדה,"איטלקי,בית קפה,חלבי","א-ה: 08:00-לקוח אחרון
שישי: 08:00-לקוח אחרון
שבת: 08:00-לקוח אחרון","מתחם מול כנרת, צמח",gregcafe.co.il/,04-8111922,ישיבה במסעדה,,Y,בית קפה,צמח,צפון,N,32.703792,35.584735
קפה גרג,בית קפה מסעדה,"איטלקי,בית קפה,חלבי","א-ה: 09:00-22:00
שישי: 09:00-15:00
שבת: 19:00-22:00",בן צבי 1 קניון ארנה,gregcafe.co.il/,04-8121118,ישיבה במסעדה,,Y,בית קפה,נהרייה,צפון,N,33.005191,35.100505
קפה גרג,בית קפה מסעדה,"בית קפה,חלבי","א-ה: 08:00-23:30
שישי: 08:00-15:30
שבת: חצי שעה לאחר צאת השבת - 00:00",רח' השוק 13 ביג,gregcafe.co.il/,04-6490011,ישיבה במסעדה,כשר למהדרין,Y,בית קפה,עפולה,צפון,N,32.605603,35.293630
קפה גרג,בית קפה מסעדה - קניון עזריאלי,"איטלקי,בית קפה","א-ה: 09:00-22:30
שישי: 08:30-15:00
שבת: חצי שעה לאחר צאת השבת - 22:00",שד' דוד רזיאל 1,gregcafe.co.il/,08-9150900,ישיבה במסעדה,כשר למהדרין,Y,בית קפה,רמלה,מרכז,N,31.925763,34.863851
קפה גרג,בית קפה מסעדה,"איטלקי,בית קפה","א-ה: 08:15-22:00
שישי: 08:00- 3 שעות לפני כניסת שבת
שבת: 45 דק מצאת השבת-23:30",התמר 2,logo_greg_cafe.jpg,054-9592288,ישיבה במסעדה,כשר למהדרין,Y,בית קפה,יקנעם עילית,צפון,N,32.659856,35.105129
קפה גרג,בית קפה מסעדה,"איטלקי,בית קפה","א-ה: 08:00-23:00
שישי: 08:00-15:00
שבת: שעה לאחר צאת השבת - 00:00",גוש עציון,gregcafe.co.il/,02-6642223,ישיבה במסעדה,כשר למהדרין,Y,בית קפה,ירושלים,ירושלים,N,31.645244,35.130919
קפה גרג,בית קפה מסעדה,"איטלקי,בית קפה","א-ה: 09:00-00:00
שישי: 08:30-14:00
שבת: שעה לאחר צאת השבת - לקוח אחרון",שדרות יצחק רבין 10,gregcafe.co.il/,02-5342292,ישיבה במסעדה,כשר למהדרין,Y,בית קפה,ירושלים,ירושלים,N,31.783081,35.203642
קפה גרג,בית קפה מסעדה,"איטלקי,בית קפה","א-ה: 07:00-לקוח אחרון
שישי: 07:00- שעה וחצי לפני כניסת שבת
שבת: שעה ממוצ""ש-לקוח אחרון",התפוח 5,gregcafe.co.il/,04-6801191,ישיבה במסעדה,כשר למהדרין,Y,בית קפה,ראש פינה,צפון,N,32.968885,35.549996
קפה גרג,בית קפה מסעדה,"איטלקי,בית קפה,חלבי","א-ה: 08:30-22:00
שישי: 08:30-15:00
שבת: 18:00-23:00",שמחה גולן 54 גרנד קניון,gregcafe.co.il/,04-8110455,ישיבה במסעדה,,Y,בית קפה,חיפה,צפון,N,32.789760,35.008029
קפה גרג,בית קפה מסעדה,"איטלקי,בית קפה,חלבי","א-ה: 09:00-22:00
שישי: 09:00-14:00
שבת: חצי שעה מצאת השבת - 23:00",רח' תדהר 1,gregcafe.co.il/,04-9531807,ישיבה במסעדה,כשר למהדרין,Y,בית קפה,פרדס חנה-כרכור,צפון,N,32.488001,34.970632
קפה גרג,בית קפה מסעדה,"איטלקי,בית קפה,חלבי","א-ה: 07:30-22:00
שישי: 08:00-14:00
שבת: חצי שעה מצאת השבת - 23:00",קניון שרונים,gregcafe.co.il/,09-8800890,ישיבה במסעדה,כשר למהדרין,Y,בית קפה,הוד השרון,שרון,N,32.133022,34.901767
קפה גרג סינמול,בית קפה מסעדה,"איטלקי,בית קפה,חלבי","א-ה: 09:00-22:00
שישי: 09:00-14:00
שבת: חצי שעה מצאת השבת - 23:00",סינמול לב המפרץ,gregcafe.co.il/,04-8403333,ישיבה במסעדה,כשר,Y,בית קפה,חיפה,צפון,N,32.793618,35.037487
קפה גרג,בית קפה מסעדה,"איטלקי,בית קפה,חלבי","א-ה: א'-ד' 08:00-22:00 ה' 08:00-23:00
שישי: 08:00-14:45
שבת: 19:00-23:00",משה פלימן 4 קניון חיפה,gregcafe.co.il/,04-8550000,ישיבה במסעדה,,Y,בית קפה,חיפה,צפון,N,32.789686,34.965129
קפה גרג,בית קפה מסעדה,"איטלקי,בית קפה,חלבי","א-ה: 08:00-22:00
שישי: 07:30-15:00
שבת: מצאת השבת - 23:00",הרצל 60 קניון השרון,gregcafe.co.il/,09-8624488,ישיבה במסעדה,כשר למהדרין,Y,בית קפה,נתניה,שרון,N,32.326762,34.861715
קפה גרג,בית קפה מסעדה,"בית קפה,חלבי,מתוקים-קינוחים","א-ה: 08:00-לקוח אחרון
שישי: 08:00-14:00
שבת: 45 דקות מצאת השבת- לקוח אחרון",דרך הים 2,gregcafe.co.il/,04-9962399,ישיבה במסעדה,כשר למהדרין,Y,בית קפה,עתלית,צפון,N,32.696749,34.945418
קפה גרג ,בית קפה מסעדה ,"איטלקי,בית קפה,חלבי,מתוקים-קינוחים","א-ה: 08:00-00:00
שישי: 08:00-00:00
שבת: 08:00-00:00",מתחם ביג פאשן,gregcafe.co.il/,04-6452954,ישיבה במסעדה,,Y,בית קפה,נצרת,צפון,N,32.696021,35.301084
קפה גרג,בית קפה מסעדה,"איטלקי,בית קפה","א-ה: 08:30-22:30
שישי: 08:00- עד שעתיים לפני כניסת שבת
שבת: מוצ""ש - 23:00","הבזלת 2, כפר תבור",gregcafe.co.il/,04-6480018,ישיבה במסעדה,כשר למהדרין,Y,בית קפה,כפר תבור,צפון,N,32.693998,35.418946
קפה גרג,בית קפה מסעדה,"איטלקי,בית קפה,חלבי,ים תיכוני,כריכים-סלטים","א-ה: 
שישי: 
שבת: ",מתחם WE CENTER,gregcafe.co.il/,04-8344122,ישיבה במסעדה,,Y,בית קפה,באקה אל-גרביה,צפון,N,32.413326,35.029203
קפה גרג,בית קפה מסעדה,"איטלקי,בית קפה,חלבי,כריכים-סלטים","א-ה: 08:30-23:00
שישי: 08:00-14:00
שבת: חצי שעה לאחר צאת השבת - 23:30",בעלי המלאכה 5 קניון צים סנטר,gregcafe.co.il/,08-9933287,ישיבה במסעדה,כשר למהדרין,Y,בית קפה,נתיבות,דרום,N,31.417311,34.594289
קפה גרג,בית קפה מסעדה,"איטלקי,בית קפה,כריכים-סלטים,מתוקים-קינוחים","א-ה: 08:00-23:00
שישי: 08:00-14:00
שבת: חצי שעה מצאת השבת - 00:00",צומת קסטינה מתחם ביג,gregcafe.co.il/,08-6118112,ישיבה במסעדה,כשר למהדרין,Y,בית קפה,קריית מלאכי,דרום,N,31.728019,34.755056
L CAFE,בית קפה מסעדה,"בית קפה,מתוקים-קינוחים","א-ה: 08:00-22:30
שישי: 07:30-15:30
שבת: ",הנשיא 4,,04-6380221,ישיבה במסעדה,כשר למהדרין,Y,בית קפה,קריית שמונה,צפון,N,33.221404,35.575528
קפה זליק,בית קפה  מסעדה ,"איטלקי,בית קפה,בשרים,הודי,חלבי","א-ה: 09:00-22:30
שישי: 09:00-23:00
שבת: 11:00-23:00",שלמה המלך 37,logo_caffezelik,03-7362263,"ישיבה במסעדה,איסוף עצמי",,Y,בית קפה,קריית אונו,מרכז,N,32.055233,34.863297
קפה זליק גבעתיים ,בית קפה מסעדה,"איטלקי,סושי-אסייאתי,בשרים,הודי,חלבי","א-ה: 08:00-23:00
שישי: 08:00-23:00
שבת: 08:00-23:00",שנקין 3,cafezelik.co.il,03-7311222,"ישיבה במסעדה,איסוף עצמי",,N,בית קפה,גבעתיים,מרכז,N,32.074634,34.809137
קפה קפה ,בית קפה מסעדה,"בית קפה,חלבי,כריכים-סלטים,מתוקים-קינוחים","א-ה: 08:00-23:00
שישי: 08:00-שעה לפני כניסת שבת
שבת: 18:00-00:00",דרך שמחה גולן,www.cafecafe.co.il/he/home/a/main,04-8120155,ישיבה במסעדה,,Y,בית קפה,חיפה,צפון,N,32.789360,35.008482
קפה קפה ,בית קפה מסעדה,"בית קפה,חלבי,כריכים-סלטים,מתוקים-קינוחים","א-ה: 08:00-23:00
שישי: 08:00-00:30
שבת: 08:00-00:00",שדרות ההסתדרות 55,www.cafecafe.co.il/he/home/a/main,04-8811600,ישיבה במסעדה,,Y,בית קפה,חיפה,צפון,N,32.793033,35.037621
קפה גרג,בית קפה מסעדה,"איטלקי,בית קפה,חלבי,כריכים-סלטים,מתוקים-קינוחים","א-ה: 08:00-22:30
שישי: 08:00-13:30
שבת: מוצ""ש - 23:00",גפן 4,gregcafe.co.il/,04-8532264,ישיבה במסעדה,"כשר למהדרין -בד""ץ",N,בית קפה,חריש,צפון,N,32.470964,35.039500
קפה קפה,בית קפה מסעדה ,"בית קפה,בשרים","א-ה: 08:00-00:00
שישי: 08:00-00:00
שבת: 08:00-00:00",דוד אלעזר 10,www.cafecafe.co.il/he/home/a/main,053-3241759,ישיבה במסעדה,,Y,בית קפה,חיפה,צפון,N,32.805722,34.957355
קפה קפה,בית קפה מסעדה ,"איטלקי,בית קפה,חלבי","א-ה: 08:00-00:00
שישי: 08:00-שעתיים לפני כניסת שבת
שבת: שעה לאחר צאת השבת - 00:00",התמר 1,www.cafecafe.co.il/he/home/a/main,04-9536000,ישיבה במסעדה,כשר,Y,בית קפה,יקנעם עילית,צפון,N,32.660995,35.105723
קפה גרג,בית קפה מסעדה,"בית קפה,חלבי,כריכים-סלטים,מתוקים-קינוחים","א-ה: א'-ד' 08:00-22:00 ה' 08:00-23:00
שישי: 08:00-שעתיים לפני כניסת שבת
שבת: ",קניון דימרי,gregcafe.co.il/,08-6910090,ישיבה במסעדה,כשר,Y,בית קפה,דימונה,דרום,N,31.060279,35.020139
אגרוקפה,"בית קפה חלבי, סנדאות קפה, קליית קפה וחנות קפה ","בית קפה,חלבי,מתוקים-קינוחים","א-ה: 08:30-17:00 בימים ג' וה' גם  19:00-22:30
שישי: 08:30-15:00
שבת: ",אשכולות 40,agrocafe.co.il,02-6645455,ישיבה במסעדה,כשר,Y,בית קפה,שריגים (לי-און),ירושלים,N,31.675796,34.936227
קפה בנימינה ,בית קפה - לא כולל מכונות קפה פולי קפה ואביזרים,בית קפה,"א-ה: 07:30-17:00
שישי: 07:00-13:30
שבת: ",המייסדים 12,,04-6380048,ישיבה במסעדה,,N,בית קפה,בנימינה,צפון,N,32.522534,34.947533
קפה פנטסיה ,בית קפה ,"בית קפה,חלבי,מתוקים-קינוחים","א-ה: 10:00-00:00
שישי: 09:30-01:00
שבת: 10:00-00:00",המאה ועשרים 4,fantasia-rlz.co.il,03-9466644,ישיבה במסעדה,,Y,בית קפה,ראשון לציון,מרכז,N,31.979620,34.746130
קפה גרג,בית קפה מסעדה,"איטלקי,בית קפה,כריכים-סלטים,מתוקים-קינוחים","א-ה: 09:00-21:30
שישי: 08:30-14:30
שבת: חצי שעה מצאת שבת-22:30","ביג אילת, הסתת 20",,08-8602142,ישיבה במסעדה,כשר,Y,בית קפה,אילת,אילת,N,29.565550,34.960050
קפה קפה,בית קפה בשרי,"איטלקי,בית קפה,בשרים,כריכים-סלטים","א-ה: 07:00-23:00
שישי: 07:00-23:00
שבת: 07:00-23:00",היכל פיס לתרבות רהט,,08-9163333,ישיבה במסעדה,,Y,בית קפה,רהט,דרום,N,31.380780,34.762590
קפה גרג,בית קפה,"איטלקי,בית קפה,חלבי","א-ה: 09:00-22:00
שישי: 09:00-15:00
שבת: שעה מצאת השבת-23:00",מצדה 7,,054-9377766,ישיבה במסעדה,כשר,Y,בית קפה,בני ברק,מרכז,N,32.093860,34.824590
קפה מנדרין,בית קפה על החוף,בית קפה,"א-ה: 08:30-24:00
שישי: 08:30-24:00
שבת: 08:30-24:00",דוד אלעזר 10 חוף מרידיאן,,073-7537150,ישיבה במסעדה,,Y,בית קפה,חיפה,צפון,N,32.805550,34.956760
קפה מנדרין,בית קפה,חלבי,"א-ה: 09:00-21:00
שישי: 09:00-15:00
שבת: שעה מצאת שבת - 23:00",קניון עזריאלי משה פלימן 4,,04-8551880,ישיבה במסעדה,כשר,Y,בית קפה,חיפה,צפון,N,32.789870,34.965680
קפה גרג ,בית קפה,"איטלקי,בית קפה,חלבי","א-ה: 09:00-21:00
שישי: 09:00-14:00
שבת: סגור",עתיר ידע 3 - אושילנד,,09-7888611,ישיבה במסעדה,כשר,Y,בית קפה,כפר סבא,שרון,N,32.165620,34.928590
קיטשן בראסרי,בית קפה מסעדה,"איטלקי,בית קפה,בשרים,מתוקים-קינוחים","א-ה: 09:00-21:00
שישי: 8:00-16:00
שבת: סגור","מעלה כמון 5, קניון חוצות",,04-8578475,ישיבה במסעדה,,Y,בית קפה,כרמיאל,צפון,N,32.928170,35.326130
קיטשן בראסרי,בית קפה מסעדה,"איטלקי,בית קפה,חלבי","א-ה: 09:00-23:00
שישי: 09:00-13:30
שבת: 18:30-23:00","אייס מול, קאפמן 8",,08-6525255,ישיבה במסעדה,בדצ בית יוסף,Y,בית קפה,אילת,אילת,N,29.554280,34.965530
Roasters,בר קפה ,"בר-פאב,בית קפה","א-ה: 06:30-23:30
שישי: 05:30-חצי שעה לפני כניסת שבת
שבת: שעה לאחר צאת השבת - 00:00",האפרסק 20,,,ישיבה במסעדה,רבנות הראשית של ירושלים,N,בית קפה,ירושלים,ירושלים,N,31.784759,35.212787
Roasters,בר קפה ,"בר-פאב,בית קפה","א-ה: 07:00-23:00
שישי: 07:00-13:30
שבת: 18:00-23:00",יעקב כהן 12,,08-9178282,ישיבה במסעדה,בהשגחת יצהר,Y,בית קפה,באר שבע,דרום,N,31.254560,34.797510
Roasters,בר קפה ,"בר-פאב,בית קפה","א-ה: 06:45-00:00
שישי: 06:45-שעה לפני כניסת שבת
שבת: שעה לאחר צאת השבת - 00:00",שמואל הנגיד 8 פינת בצלאל,,,ישיבה במסעדה,בהשגחת יצהר,Y,בית קפה,יראון,ירושלים,N,31.780370,35.214863
Roasters,בר קפה ,"בר-פאב,בית קפה","א-ה: 06:30-00:00
שישי: 06:30-חצי שעה לפני כניסת שבת
שבת: שעה לאחר צאת השבת - 00:00",דם המכבים 55,,08-8606880,ישיבה במסעדה,בהשגחת יצהר,Y,בית קפה,מודיעין-מכבים-רעות,ירושלים,N,31.903681,35.007208
קפה גרג,בית קפה מסעדה,"בית קפה,חלבי,ים תיכוני,כריכים-סלטים","א-ה: 08:30-22:00
שישי: 08:00-13:00
שבת: ",קניון הדר - פייר קינג 26,gregcafe.co.il/,02-5367870,ישיבה במסעדה,כשר למהדרין,Y,בית קפה,ירושלים,ירושלים,N,31.753270,35.212921
ביגה ,בית קפה  מסעדה חלבית - מכובד בישיבה במסעדה בלבד,"בית קפה,חלבי,כריכים-סלטים","א-ה: 08:00-23:00
שישי: 08:00-14:00
שבת: חצי שעה מצאת השבת - 00:00",המלאכה 23,biga-bakery.co.il,04-6493344,ישיבה במסעדה,כשר למהדרין,Y,בית קפה,עפולה,צפון,N,32.603187,35.294482
Roasters,בר קפה ,"בית קפה,חלבי,כריכים-סלטים","א-ה: 08:00-20:00
שישי: 
שבת: ",ישראל זמורה 1,,02-5834840,ישיבה במסעדה,כשר בהשגחת צהר,N,בית קפה,ירושלים,ירושלים,N,31.782055,35.222693
פרנצ'וק ,בית קפה מסעדה חלבית ,"איטלקי,בית קפה,חלבי,מתוקים-קינוחים","א-ה: 06:30-20:30
שישי: 06:00-15:00
שבת: ",שיאון 1,,077-2056789,ישיבה במסעדה,,N,בית קפה,קצרין,צפון,N,32.994318,35.690836
קפה גרג,בית קפה מסעדה,"בית קפה,חלבי,כריכים-סלטים,מתוקים-קינוחים","א-ה: 09:00-21:00
שישי: 09:00-14:30
שבת: ",שד' רוטשילד 40,gregcafe.co.il/,04-6720044,ישיבה במסעדה,,N,בית קפה,חדרה,צפון,N,32.437643,34.922155
קפה גרג,בית קפה,"בית קפה,חלבי","א-ה: 8:30-9:30
שישי: 8:30-13:30
שבת: ",המלאכה 2 קניון רננים,,0528787310,ישיבה במסעדה,מהדרין,Y,בית קפה,רעננה,שרון,N,32.197480,34.878090
קפה גרג,בית קפה מסעדה ,"בית קפה,חלבי,ים תיכוני,כריכים-סלטים,מתוקים-קינוחים","א-ה: 08:00-00:00
שישי: 08:00-14:00
שבת: ",העצמאות 57,gregcafe.co.il/,04-8445522,ישיבה במסעדה,כשר למהדרין,N,בית קפה,קריית אתא,צפון,N,32.806262,35.103273
B-BAKERY,"בית קפה, מאפיה, קונדיטוריה ","בית קפה,מתוקים-קינוחים,צמחוני-טבעוני","א-ה: 08:00-21:30
שישי: 08:00-15:00
שבת: 11:00-22:00",קניון עזריאלי חיפה,,,ישיבה במסעדה,,N,בית קפה,חיפה,צפון,N,32.789642,34.965180
קפה מנדרין,בית קפה מסעדה,"בית קפה,חלבי,כריכים-סלטים,מתוקים-קינוחים","א-ה: 08:30-00:00
שישי: 08:00-00:00
שבת: 08:30-00:00",שד' מוריה 117,,04-8344112,ישיבה במסעדה,,N,בית קפה,חיפה,צפון,N,32.788390,34.986758
ORyosss,בית קפה קונדיטוריה,"בית קפה,מתוקים-קינוחים,צמחוני-טבעוני","א-ה: 09:00-14:00 | 17:00-22:00
שישי: 09:00-14:00
שבת: ",משה זרח 27,,050-8558528,ישיבה במסעדה,כשר,Y,בית קפה,שדרות,דרום,N,31.523798,34.591586
קפה גרג,בית קפה מסעדה,בית קפה,"א-ה: 08:30-22:00
שישי: 08:00-13:30
שבת: ",אליעזר פרידמן 9,gregcafe.co.il/,03-9075088,ישיבה במסעדה,כשר למהדרין,N,בית קפה,פתח תקווה,מרכז,N,32.079428,34.902589
