שם,תיאור,אזור,עיר,כתובת,טלפון,קטגוריה,סוג,שעות פתיחה,כשר,נגישות לנכים,אתר אינטרנט,משלוחים,חדש,latitude,longitude
נויה ,מסעדת שף - לא כולל ארוחות עסקיות,ירושלים,ירושלים,שלומציון המלכה 3,02-6257311,מסעדה,"בשרים,ים תיכוני,צרפתי","א-ה: 12:00-24:00
שישי: 11:30-15:00
שבת: סגור",כשר למהדרין,Y,,N,N,31.780043,35.221743
קפה קפה,בית קפה,ירושלים,יפית,"בין מושב יפית לצומת פצאל מפגש הבקעה, כביש 90",02-9400808,בית קפה,בית קפה,"א-ה: 
שישי: 
שבת: ",כשר,N,www.cafecafe.co.il/he/home/a/main,N,N,32.048331,35.463133
קפה קפה , בית קפה,ירושלים,ירושלים,שד' גולדה מאיר קניון רמות,02-5344848,בית קפה,בית קפה,"א-ה: 
שישי: 
שבת: ",כשר למהדרין,Y,www.cafecafe.co.il/he/home/a/main,N,N,31.252584,34.774906
אייר קפה ,בית קפה,מרכז,לוד נמל תעופה,"הערבה 2 , שדרות התעופה, נמל תעופה בן גוריון",03-9791812,בית קפה,בית קפה,"א-ה: 08:00-לקוח אחרון
שישי: 08:00-14:00
שבת: מוצ""ש-לקוח אחרון",כשר,N,www.2eat.co.il/aircaffe,N,N,31.996794,34.877521
בוצ'רי דה ברילוצ'ה ,בשרי,מרכז,תל אביב - יפו,הברזל 4,077-5309700,מסעדה,בשרים,"א-ה: 12:00-24:00
שישי: 12:00-24:00
שבת: 12:00-24:00",,N,butchery.co.il/,N,N,32.106480,34.834695
הרצל בר קפה,בית קפה,מרכז,רחובות,הרצל 209,057-9375549,בית קפה,בית קפה,"א-ה: 10:00-לקוח אחרון
שישי: 10:30-לקוח אחרון
שבת: 11:00-לקוח אחרון",,Y,herzl.rest.co.il,N,N,31.901808,34.808807
השובך,בשרי מזרחי,מרכז,תל אביב - יפו,דם המכבים 26,03-5716789,מסעדה,"בשרים,מזרחי","א-ה: 11:30-20:00
שישי: 12:00-16:00
שבת: ",כשר,Y,www.hashovach.co.il,N,N,32.069298,34.800198
מקס ברנר,בית קפה שוקולד,מרכז,ראשון לציון,סחרוב 24,03-9522800,מסעדה,"בית קפה,מתוקים-קינוחים","א-ה: 10:00- לקוח אחרון
שישי: 09:00- לקוח אחרון
שבת: 10:30 - לקוח אחרון",,N,www.max-brenner.co.il,Y,N,31.990550,34.772147
מקס ברנר ,בית קפה שוקולד,מרכז,תל אביב - יפו,רוטשילד 45,03-5604570,מסעדה,"בית קפה,מתוקים-קינוחים","א-ה: 10:00- לקוח אחרון
שישי: 09:00- לקוח אחרון
שבת: 09:00- לקוח אחרון",,N,www.max-brenner.co.il,Y,N,32.064186,34.774800
סמיר,בשרים על האש,מרכז,רמלה,קהילת דטרויט 7,08-9220195,מסעדה,"בשרים,מזרחי","א-ה: ימים ב'-ה' 08:00-18:00
שישי: 08:00-19:00
שבת: 07:00-19:00",,N,www.rol.co.il/sites/samir,N,N,31.925926,34.873077
פורטבלו,מסעדה חלבית כשרה,דרום,יבנה,הירמוך 1 (בנין מול הצומת),08-9330360,מסעדה,חלבי,"א-ה: 1200-2200
שישי: 
שבת: ",כשר,Y,,N,N,31.887744,34.731081
פרונטו,מסעדת שף איטלקי,מרכז,תל אביב - יפו,הרצל 4,03-5660915,מסעדת שף,איטלקי,"א-ה: 12:30-24:00
שישי: 12:30-24:00
שבת: 12:30-24:00",,Y,www.pronto.co.il,N,N,32.063336,34.769862
קפה נמרוד,מסעדה גלילית,מרכז,תל אביב - יפו,"יורדי הסירה 1 , נמל תל אביב",077-2133007,בית קפה,בית קפה,"א-ה: 08:00-לקוח אחרון
שישי: 08:00-לקוח אחרון
שבת: 08:00-לקוח אחרון",,Y,cafenimrod.com,N,N,32.096010,34.776057
קפה קפה,בית קפה,מרכז,בת ים,"יוספטל 92, קניון בת ים",03-5558999,בית קפה,בית קפה,"א-ה: 
שישי: 
שבת: ",כשר,N,www.cafecafe.co.il,N,N,32.015582,34.755191
קפה קפה,בית קפה,מרכז,חולון,סוקולוב 48,03-5036699,בית קפה,בית קפה,"א-ה: 
שישי: 
שבת: ",כשר,N,www.cafecafe.co.il,N,N,32.022702,34.774442
קפה קפה,בית קפה מסעדה- חלבי,מרכז,רמלה,"קניון רמלוד, הצופית 40",08-9214639,בית קפה,"בית קפה,חלבי","א-ה: 07:30-לקוח אחרון
שישי: 07:30-14:30
שבת: מוצ""ש-לקוח אחרון",כשר למהדרין,Y,www.cafecafe.co.il,N,N,31.931315,34.890029
קפה קפה,בית קפה,מרכז,תל אביב - יפו,רמז 20,03-6960011,בית קפה,בית קפה,"א-ה: 
שישי: 
שבת: ",,N,www.cafecafe.co.il,N,N,32.087214,34.786170
קפה קפה,בית קפה,מרכז,תל אביב - יפו,"קניון עזריאלי, קומה 2",03-6094770,בית קפה,בית קפה,"א-ה: 
שישי: 
שבת: ",כשר למהדרין,N,www.cafecafe.co.il,N,N,32.074322,34.792081
קפה קפה,בית קפה,מרכז,נס ציונה,השריון 1,076-5480898,בית קפה,בית קפה,"א-ה: 
שישי: 
שבת: ",,N,www.cafecafe.co.il,N,N,31.931262,34.796693
רק בשר ,בשרי,מרכז,תל אביב - יפו,דרך שלמה 19,1-700-550-028,מסעדה,בשרים,"א-ה: 12:00-לקוח אחרון
שישי: 12:00-לקוח אחרון
שבת: 12:00-לקוח אחרון",,N,www.rakbasar.co.il,N,N,32.054514,34.763000
רק בשר ,בשר,מרכז,ראשון לציון,שמוטקין 10 א. תעשיה מזרח,1-700-550-028,מסעדה,בשרים,"א-ה: 12:00-01:30
שישי: 12:00-01:30
שבת: 12:00-01:30",,N,www.rakbasar.co.il,N,N,31.974002,34.810782
רק בשר ,בשרי,מרכז,תל אביב - יפו,ראול ולנברג 14,1-700-550-028,מסעדה,בשרים,"א-ה: 12:00-לקוח אחרון
שישי: 12:00-לקוח אחרון
שבת: 12:00-לקוח אחרון",,Y,www.rakbasar.co.il,N,N,32.109033,34.836371
ברוהאוס הגולן,בשרי מבשלת בירה,צפון,קצרין,"א. ת. קצרין מתחם חוצות, דרך היין",04-6961311,בר-פאב,בר-פאב,"א-ה: 11:00-לקוח אחרון
שישי: 11:00-לקוח אחרון
שבת: 11:00-לקוח אחרון",,Y,www.brewhouse-golan.co.il,N,N,32.991049,35.707939
המטבח של נורה,אוכל דרוזי ,צפון,דאלית אל-כרמל,רחוב 6 בית 8 שכונת סואנייה,04-8393608,מסעדה,מזרחי,"א-ה: ע""פ תאום מראש
שישי: 
שבת: ",כשר,N,www.2eat.co.il/nurahs-kitchen,N,N,32.692999,35.043273
סקואלה,,צפון,חיפה,קניון חיפה - דרך משה פלימן 4,04-6294086,בית קפה,בית קפה,"א-ה: 10:00-22:00
שישי: 09:00- כניסת שבת
שבת: מוצ""ש - 23:00",כשר,Y,,N,N,32.790243,34.963845
פורט קפה,בית קפה/ מסעדה,צפון,קיסריה,נמל קיסריה,04-6100221,בית קפה,בית קפה,"א-ה: 08:30- לקוח אחרון
שישי: 08:30- לקוח אחרון
שבת: 08:30- לקוח אחרון",,N,www.portcafe.co.il,Y,N,32.503891,34.892947
קימל בגילבוע,בשרי/שף צרפתי,צפון,שדי תרומות,מתחם סקי גלבוע דרך נוף הגלבוע,04-6895566,מסעדת שף,"בשרים,צרפתי","א-ה: 12:00-24:00
שישי: 
שבת: ",,Y,kimmelbagilboa.co.il,N,N,32.552673,35.333576
קפה קפה,בית קפה,צפון,יפעת," תחנת דלק פז, בכניסה לקיבוץ יפעת",04-6548830,בית קפה,בית קפה,"א-ה: 
שישי: 
שבת: ",,N,www.cafecafe.co.il,N,N,32.675397,35.220881
קפה קפה,בית קפה,צפון,קריית ים,אירוס 1,04-8704296,בית קפה,בית קפה,"א-ה: 07:30-00:00
שישי: 
שבת: חצי שעה לאחר צאת השבת -00:00",כשר,N,www.cafecafe.co.il,N,N,32.842948,35.071047
קפה קפה,בית קפה,צפון,מעיליא,כביש 89 כניסה לכפר מעיליא,04-9966680,בית קפה,בית קפה,"א-ה: 
שישי: 
שבת: ",,N,www.cafecafe.co.il,N,N,33.025217,35.253496
קפה קפה ,בית קפה,צפון,קריית שמונה,קניון נחמיה,04-6789220,בית קפה,בית קפה,"א-ה: 
שישי: 
שבת: ", כשר למהדרין,Y,www.cafecafe.co.il,N,N,33.219706,35.576833
La Vaca Loca,מסעדת בשרים ואוכל טוב,שרון,הרצליה,מדינת היהודים 60,09-9555037,מסעדה,בשרים,"א-ה: 12:00-23:00
שישי: 12:00-23:00
שבת: 12:00-23:00",,Y,,N,N,32.166316,34.809613
ביסטרו 56,בסטרו בשר דגים,שרון,הרצליה,קניון ארנה - השונית 2,09-9565181,מסעדה,"בשרים,דגים","א-ה: 12:00-24:00
שישי: 10:00-כניסת שבת
שבת: מוצ""ש-לקוח אחרון",כשר,Y,www.bistro56.co.il,N,N,32.163681,34.797692
מקס ברנר ,בית קפה שוקולד,שרון,נתניה,"גבורי ישראל 17 א""ת פולג",09-8858500,מסעדה,"בית קפה,מתוקים-קינוחים","א-ה: 09:00 - לקוח אחרון
שישי: 08:00- לקוח אחרון
שבת: 09:00- לקוח אחרון",,N,www.max-brenner.co.il,Y,N,32.282339,34.861620
קפה קפה,בית קפה,שרון,נתניה,"כביש החוף, מתחם תחנת דלק סונול",09-8825460,בית קפה,בית קפה,"א-ה: 
שישי: 
שבת: ",כשר,N,www.cafecafe.co.il,N,N,32.324856,34.865960
מוסקטו,תפריט איטלקי,דרום,נתיבות,יוסף סמלו 123,057-9443324,מסעדה,איטלקי,"א-ה: 09:00-24:00
שישי: 09:00 - כניסת שבת
שבת: מוצ""ש - 24:00",כשר למהדרין,Y,,N,N,31.420391,34.599831
Moon,סושי,מרכז,תל אביב - יפו,בוגרשוב 58,03-6291155,מסעדת שף,"סושי-אסייאתי,צמחוני-טבעוני","א-ה: 12:00-24:30
שישי: 12:00-24:30
שבת: 12:00-24:30",,Y,moon.rest.co.il,N,N,32.075713,34.772048
Moon D-Light,סושי,מרכז,תל אביב - יפו,פינסקר 30,03-6034422,מסעדה,סושי-אסייאתי,"א-ה: 12:00-24:00
שישי: 12:00-24:00
שבת: 12:00-24:00",,Y,,N,N,32.075121,34.771142
קפה קפה,בית קפה,צפון,רמת ישי,מרכז מסחרי קומה ב,04-6181226,בית קפה,בית קפה,"א-ה: 
שישי: 
שבת: ",כשר,N,www.cafecafe.co.il,N,N,32.708228,35.174875
קפה קפה,בית קפה,צפון,קריית ביאליק,הקריון - דרך עכו 192,04-8764100,בית קפה,בית קפה,"א-ה: 
שישי: 
שבת: ",,N,www.cafecafe.co.il,N,N,32.842186,35.088886
הסושייה,אסייתי,מרכז,פתח תקווה,יעל רום 8,03-6226288,מסעדה,סושי-אסייאתי,"א-ה: 11:00-24:00
שישי: 11:00-24:00
שבת: 12:00-24:00",,Y,hasushia.com,Y,N,32.100375,34.881767
מדאמס,חומוסיה,מרכז,תל אביב - יפו,ברזיל 17,03-7440244,מסעדה,מזרחי,"א-ה: 10:00-21:00
שישי: 10:00-16:00
שבת: סגור",כשר למהדרין,Y,,N,N,32.111390,34.796645
מדאמס,חומוסיה,מרכז,תל אביב - יפו,הדר יוסף 14,03-6443020,מסעדה,מזרחי,"א-ה: 10:00-21:00
שישי: 10:00-16:00
שבת: סגור",כשר למהדרין,Y,,N,N,32.109726,34.818619
ראנץ האוס,בשרי,אילת,אילת,טיילת רואיל ביץ החוף הצפוני,08-6368888,מסעדה,בשרים,"א-ה: 12:00-24:00
שישי: 
שבת: מוצ""ש-11:00",כשר,Y,ranchhouse.rest.co.il,N,N,29.551181,34.965207
לה קוצ'ינה,מסעדה איטלקית,אילת,אילת,טיילת רואיל ביץ החוף הצפוני,08-6368932,מסעדה,איטלקי,"א-ה: 18:00-23:00
שישי: 
שבת: ",,Y,lacuccina.rest.co.il,N,N,29.551181,34.965207
קפה קפה,חלבי,דרום,באר שבע,גרנד קניון שדרות טוביהו 125,08-9918698,בית קפה,"בית קפה,חלבי","א-ה: 08:00-22:30
שישי: 08:00-שעתיים לכניסת שבת
שבת: מוצ""ש - 23:00",כשר מהדרין,Y,www.cafecafe.co.il/he/home/a/main,N,N,31.252307,34.769776
דוניה רוסה,בשרי ארגנטינאי,צפון,עין הוד,עין הוד כפר האומנים,057-9345520,מסעדה,בשרים,"א-ה: 12:00-23:00
שישי: 12:00-23:00
שבת: 12:00-21:00",,Y,,N,N,32.701411,34.979932
מחלבת דשן,חלבי,מרכז,תל אביב - יפו,יגאל אלון 161,03-5417692,מעדניה,חלבי,"א-ה: 08:30-20:00
שישי: 08:00-14:00
שבת: ",כשר למהדרין,Y,deshen-dairy.co.il,N,N,32.078783,34.798123
הסושייה,אסיאתי,מרכז,תל אביב - יפו,רוטשילד 45,03-7581395,מסעדה,סושי-אסייאתי,"א-ה: 12:00-01:00
שישי: 12:00-לקוח אחרון
שבת: 13:00-לקוח אחרון",,Y,hasushia.com,Y,N,32.064186,34.774800
הסושייה,אסיאתי,מרכז,תל אביב - יפו,"אהרון בקר 8, מיקדו סנטר",03-7287666,מסעדה,סושי-אסייאתי,"א-ה: 11:30-12:00
שישי: 11:30-12:00
שבת: 12:30-24:00",,Y,hasushia.com,N,N,32.123151,34.816404
ישראלית,מסעדה ים תיכונית,אילת,אילת,שדרת לה בולבארד ישרוטל רויאל גארדן החוף הצפוני,08-6386698,מסעדה,"בשרים,ים תיכוני","א-ה: 13:00-23:00
שישי: 13:00-17:00
שבת: ",כשר,Y,israelit.rest.co.il,N,N,29.550807,34.962301
קפה קפה,בשרי,צפון,שפרעם,כמאל ג'מבלאט 1,04-6237802,בית קפה,בית קפה,"א-ה: 07:00-02:00
שישי: 07:00-02:00
שבת: 07:00-02:00",,Y,www.cafecafe.co.il,N,N,32.810198,35.165822
קפה מונטיפיורי,בית קפה מסעדה,מרכז,תל אביב - יפו,שדרות יהודית 21,03-7368187,בית קפה,בית קפה,"א-ה: 08:00-24:00
שישי: 08:00-17:00
שבת: 19:30-24:00",,Y,,N,N,32.070013,34.791052
הסושייה,אסיאתי,מרכז,רחובות,המדע 8 פארק המדע,08-9577875,מסעדה,סושי-אסייאתי,"א-ה: 11:30-24:00
שישי: 11:30-24:00
שבת: 11:30-24:00",,Y,hasushia.com,Y,N,31.904286,34.808692
אסאדו ובורגר בר,בשרי,צפון,מרום גולן,מתחם תיירות צומת האמיר,04-6899923,מסעדה,בשרים,"א-ה: 12:30-22:00
שישי: 12:30-שעה לכניסת השבת
שבת: מוצ""ש -22:00",כשר,Y,,N,N,33.131888,35.778438
300 גרם,מסעדת שף בשרית,צפון,בצת,מושב בצת,04-9808544,מסעדה,בשרים,"א-ה: 12:30-22:00
שישי: 12:00-14:00
שבת: שעה וחצי מצאת השבת-22:00",כשר למהדרין,Y,www.300gram.co.il,N,N,33.070047,35.132636
קפה קפה,בית קפה מסעדה - בשרי,צפון,חיפה,שדרות בן גוריון 31,04-9823077,בית קפה,בית קפה,"א-ה: 08:00-לקוח אחרון
שישי: 08:00-לקוח אחרון
שבת: 08:00-לקוח אחרון",,Y,www.cafecafe.co.il,N,N,32.820197,34.990672
הסושייה,אסייתי,צפון,מעלות-תרשיחא,מעלה המסגד 1,-9969,מסעדה,"סושי-אסייאתי,צמחוני-טבעוני","א-ה: 12:00-23:00
שישי: 12:00-23:00
שבת: 12:00-23:00",,Y,hasushia.com/,Y,N,33.013481,35.267006
קפה קפה,בית קפה מסעדה- חלבי,שרון,הרצליה,יורדי ים 1 - מרינה הרצליה,09-9560404,בית קפה,"בית קפה,חלבי","א-ה: 08:00-לקוח אחרון
שישי: 08:00-שעתיים לכניסת השבת
שבת: מוצ""ש-לקוח אחרון",כשר,Y,www.cafecafe.co.il,N,N,32.161106,34.795915
מיניסטור פלאפל,ישראלי ביתי,מרכז,תל אביב - יפו,אבן גבירול 30,050-6906909,מסעדה,מזרחי,"א-ה: 08:00-20:00
שישי: סגור
שבת: סגור",כשר למהדרין,Y,,Y,N,32.074975,34.781798
מינה טומאי,אסיאתי,מרכז,תל אביב - יפו,הארבעה 17,2750*,מסעדה,"סושי-אסייאתי,צמחוני-טבעוני","א-ה: 12:00-24:20
שישי: 12:00-24:20
שבת: 12:00-24:20",,Y,,Y,N,32.070403,34.786396
מינה טומאי,אסיאתי,צפון,חיפה,פלימן 8 מרכז קסטגו,2750*,מסעדה,סושי-אסייאתי,"א-ה: 12:00-23:00
שישי: 12:00-לקוח אחרון
שבת: 12:00-לקוח אחרון",,Y,,Y,N,32.790246,34.963529
רפאלו,איטלקי,צפון,חיפה,פלימן 8 מרכז קסטרא,6632*,מסעדה,איטלקי,"א-ה: 12:00-23:00
שישי: 12:00-24:00
שבת: 12:00-24:00",,Y,www.raffaello.co.il,Y,N,32.790246,34.963529
קפה קפה,בית קפה מסעדה- חלבי,מרכז,ראשון לציון,"סחרוב 21, קניון הזהב",03-6055328,בית קפה,"בית קפה,חלבי","א-ה: 09:00-23:00
שישי: 08:00-שעתיים לכניסת השבת
שבת: מוצ""ש - 24:00",כשר,Y,www.cafecafe.co.il,N,N,31.989917,34.774349
וניה ביסטרו,צרפתי ביסטרו,צפון,חיפה,שער פלמר 1,04-6716272,מסעדה,צרפתי,"א-ה: 12:00-01:00 שני סגור
שישי: 13:00-01:00
שבת: 13:00-01:00",,Y,,N,N,32.819791,34.999997
קפה קפה,בשרי,דרום,גדרה,רחוב הבילויים 5,08-8694590,בית קפה,בית קפה,"א-ה: 08:00-24:00
שישי: 07:00-מוצ""ש 24:00
שבת: יום ו' 07:00-מוצ""ש 24:00",,Y,www.cafecafe.co.il/he/home/a/main,N,N,31.814960,34.773146
קפה קפה,בשרי,צפון,חדרה,קניון לב חדרה - שד' רוטשילד 40,04-6218162,בית קפה,בית קפה,"א-ה: 08:00-23:00
שישי: 08:00-15:00
שבת: מוצ""ש -23:00",,Y,www.cafecafe.co.il,N,N,32.437331,34.921169
קפה קפה,בשרי,צפון,חיפה,גרנד קניון דרך שימחה גולן 54,04-8120155,בית קפה,בית קפה,"א-ה: 08:00-לקוח אחרון
שישי: 8:00-16:00
שבת: 18:00-24:00",,Y,www.cafecafe.co.il,N,N,32.789570,35.007663
הגראז אוכלים שותים,בר וגריל,מרכז,ראשון לציון,הרצל 151,03-6499600,מסעדה,בשרים,"א-ה: 12:00-02:00
שישי: 12:00-02:00
שבת: 12:00-02:00",,Y,www.garageburger.co.il,N,N,31.947022,34.801847
בני הדייג,איסוף עצמי,מרכז,ראשון לציון,טיילת 19 חוף הים,03-5440050,מסעדה,"בשרים,דגים","א-ה: 12:00-00:00
שישי: 12:00-00:00
שבת: 12:00-00:00",,Y,www.rol.co.il/sites/benny-hadayag-rishon,N,N,31.999006,34.732572
הדיואן,בשרי,צפון,מגאר,כפר מג'אר,050-2281151,מסעדה,בשרים,"א-ה: 11:30-23:30
שישי: 11:30-23:30
שבת: 11:30-23:30",,N,,N,N,0.000000,0.000000
בני הדייג,בשרים דגים פירות ים,שרון,הרצליה,יורדי ים 1 - מרינה הרצליה,09-9557387,מסעדה,"בשרים,דגים","א-ה: 09:00-23:30
שישי: 09:00-23:30
שבת: 09:00-23:30",,Y,,N,N,32.161106,34.795915
קפה אופטימי,בית קפה מסעדה,אילת,אילת,מרכז פנינת אילת (צמוד לקניון מול ים),08-6376510,בית קפה,"בית קפה,חלבי","א-ה: 09:00-02:00
שישי: 09:00-02:00
שבת: 09:00-02:00",,Y,www.rol.co.il/sites/cafe-optimi,N,N,29.550936,34.954519
קפה קפה,קפה מסעדה - חלבי,צפון,טירת כרמל,אלמוג 23,04-6476476,בית קפה,"בית קפה,חלבי","א-ה: 08:00-24:00
שישי: 08:00-שעה לכניסת השבת
שבת: מוצ""ש - 24:00",כשר,Y,www.cafecafe.co.il,N,N,32.762127,34.972980
אוליב," סנדויץ בר, איטלקי מהיר",מרכז,תל אביב - יפו,לילנבלום 24,03-5106680,מסעדה,"איטלקי,כריכים-סלטים","א-ה: 24 שעות
שישי: 24 שעות
שבת: 24 שעות",,Y,olive-rest.co.il,N,N,32.062150,34.770019
Black,"לא כולל עסקיות, 2eat, תפריטי ילדים, ותפריטי לילה",צפון,חיפה,קניון סינמול (ללא עסקיות 2eat ילדים ולילה),04-8422400,מסעדה,בשרים,"א-ה: 12:00-לקוח אחרון
שישי: 12:00-לקוח אחרון
שבת: 12:00-לקוח אחרון",,Y,blackbarburger.co.il,N,N,32.792638,35.037401
Black," לא כולל עסקיות, 2eat, תפריטי ילדים, ותפריטי לילה",דרום,באר שבע,ברוך קנטיקי 2(ללא עסקיות 2eat ילדים ולילה),072-3940247,מסעדה,בשרים,"א-ה: 12:00-לקוח אחרון
שישי: 12:00-לקוח אחרון
שבת: 12:00-לקוח אחרון",,Y,blackbarburger.co.il,N,N,31.224418,34.801447
Black,"לא כולל עסקיות, 2eat, תפריטי ילדים, ותפריטי לילה",מרכז,ראשון לציון,מתחם יס לפאנט (ללא עסקיות 2eat ילדים ולילה),03-5449988,מסעדה,בשרים,"א-ה: 12:00-לקוח אחרון
שישי: 12:00-לקוח אחרון
שבת: 12:00-לקוח אחרון",,N,blackbarburger.co.il,N,N,32.793944,35.037933
Black,"לא כולל עסקיות, 2eat, תפריטי ילדים, ותפריטי לילה",שרון,רמת השרון,סינמה סיטי (ללא עסקיות 2eat ילדים ולילה),03-6991100,מסעדה,בשרים,"א-ה: 12:00-לקוח אחרון
שישי: 12:00-לקוח אחרון
שבת: 12:00-לקוח אחרון",,N,blackbarburger.co.il,N,N,32.146626,34.805223
Black,"לא כולל עסקיות, 2eat, תפריטי ילדים, ותפריטי לילה",שרון,כפר סבא,מתחם G ויצמן 301 (ללא עסקיות 2eat ילדים ולילה),09-7671040,מסעדה,בשרים,"א-ה: 12:00-לקוח אחרון
שישי: 12:00-לקוח אחרון
שבת: 12:00-לקוח אחרון",,N,blackbarburger.co.il,N,N,32.170561,34.928656
סינטה,בשרי,דרום,אשדוד,רחוב האורגים 11,08-8606606,מסעדה,בשרים,"א-ה: 12:00-לקוח אחרון
שישי: 
שבת: חצי שעה ממוצ""ש-לקוח אחרון",כשר,Y,www.rol.co.il/sites/sinta,Y,N,31.811852,34.659195
קפה קפה,בית קפה,צפון,טבריה,כפר טרוען מתחם צמח מול הכינרת,04-6221668,בית קפה,בית קפה,"א-ה: 08:00-23:30
שישי: 08:00-23:30
שבת: 08:00-23:30",,Y,www.cafecafe.co.il,N,N,32.775137,35.378344
דלאל,בשר/דגים/איטלקי,מרכז,תל אביב - יפו,שבזי 10,03-5109292,מסעדת שף,"בשרים,דגים","א-ה: 12:00-24:30
שישי: 9:00-24:30
שבת: 09:00-24:30",,Y,,Y,N,32.061219,34.763447
מקס ברנר,בית קפה שוקולד,מרכז,פתח תקווה,השחם 30,,מסעדה,"בית קפה,מתוקים-קינוחים","א-ה: 08:00-01:00
שישי: 08:00-01:00
שבת: 08:00-01:00",כשר,Y,www.max-brenner.co.il,Y,N,32.086505,34.858903
Siesata,בית קפה,דרום,באר שבע,חייל ההנדסה 1/5,08-6650334,בית קפה,בית קפה,"א-ה: 07:30-23:00
שישי: 07:30-23:00
שבת: 09:00-23:00",,Y,www.rol.co.il/sites/siesta,N,N,31.243261,34.812207
בני הדייג,דגים ובשרים,צפון,חדרה,כפר הים 1 גבעת אולגה,04-6444564,מסעדה,"בשרים,דגים","א-ה: 10:00-00:00
שישי: 10:00-00:00
שבת: 10:00-00:00",,Y,,N,N,32.385293,34.864500
קישריה,בית קפה צמחוני טבעוני,מרכז,גבעתיים,כצנלסון 147,03-6705080,בית קפה,"בית קפה,צמחוני-טבעוני","א-ה: 08:30-23:00
שישי: 08:00-16:00
שבת: סגור",כשר,Y,www.quicheria.co.il,Y,N,32.075440,34.817630
קפה קפה,בית קפה,צפון,עכו,החרושת 2 קניון עזריאלי,04-6013618,בית קפה,בית קפה,"א-ה: 08:30-24:00
שישי: 08:30-שעת לכניסת השבת
שבת: מוצ""ש-24:00",כשר למהדרין,Y,www.cafecafe.co.il,N,N,32.923047,35.081231
קפה קפה,בית קפה,צפון,עפולה,יהושוע חנקין 14 קניון ערים,04-6404083,בית קפה,בית קפה,"א-ה: 08:00-24:00
שישי: 08:00-24:00
שבת: 17:30-24:00",,Y,www.cafecafe.co.il,N,N,32.604192,35.294081
הצוק,שף,צפון,כפר ראש הנקרה,אתר תיירות ראש הנקרה,04-6016849,מסעדה,"בשרים,דגים","א-ה: 12:00-22:00
שישי: 11:00- שעה לכניסת השבת
שבת: מוצ""ש לפי אירועים",כשר למהדרין,Y,atzuk.rest.co.il,N,N,33.086090,35.113455
הבוסתן ,גן- קפה ומסעדה,מרכז,ראש העין,פארק לב הארץ מול אפק,03-9011060,מסעדה,בית קפה,"א-ה: 10:00-23:00
שישי: 10:00-23:00
שבת: 10:00-23:00",,Y,www.busttan.co.il,Y,N,32.098081,34.947045
